,Risk Factors,Score
523,Autosomal anomaly,0.17356282472610474
524,Omenn syndrome,0.17309537529945374
525,primary pulmonary hypertension,0.17288371920585632
526,Genetic disorder of sex development,0.17277571558952332
527,polymorphic ventricular tachycardia,0.1723388433456421
528,familial chylomicronemia syndrome,0.17222043871879578
529,ST Elevation Myocardial Infarction,0.1714566946029663
530,microcytic anemia,0.17134037613868713
531,Romano-Ward syndrome,0.17094817757606506
532,Dent disease type 2,0.17069083452224731
533,thyroid cancer,0.17067357897758484
534,Autosomal recessive limb-girdle muscular dystrophy type 2H,0.17012834548950195
535,neoplastic polyp,0.16957375407218933
536,Congenital disorder of glycosylation,0.16908392310142517
537,Arrhythmogenic right ventricular dysplasia,0.16904166340827942
538,oral lichen planus,0.16888758540153503
539,hematological measurement,0.16823998093605042
540,"Metaphyseal chondrodysplasia, Jansen type",0.16768699884414673
541,Abnormality of mitochondrial metabolism,0.16742214560508728
542,Unverricht-Lundborg disease,0.1671847403049469
543,Progressive muscular dystrophy,0.16664516925811768
544,Gastrointestinal stromal tumor,0.16635116934776306
545,Hyperuricemia - anemia - renal failure,0.1662876009941101
546,secondary Parkinson disease,0.16545185446739197
547,brain infarction,0.16533911228179932
548,Dense granule disease,0.1650194525718689
549,Epileptic encephalopathy,0.16496038436889648
550,Abnormality of gastrointestinal vasculature,0.1648608148097992
551,Perrault syndrome,0.16479739546775818
552,mature T-cell and NK-cell non-Hodgkin lymphoma,0.16479280591011047
553,corneal disease,0.16476324200630188
554,4-hydroxybutyric aciduria,0.1647333800792694
555,complement deficiency,0.1645401418209076
556,Hemochromatosis type 2,0.16403129696846008
557,Peeling skin syndrome,0.16398724913597107
558,purpura (disease),0.1638830006122589
559,MUTYH-related attenuated familial adenomatous polyposis,0.16367608308792114
560,Generalized congenital lipodystrophy with myopathy,0.16269338130950928
561,Familial apolipoprotein C-II deficiency,0.16255256533622742
562,Familial thoracic aortic aneurysm and aortic dissection,0.1617419719696045
563,Congenital muscular dystrophy without intellectual disability,0.1614190936088562
564,eye allergy,0.16130465269088745
565,steroid-resistant nephrotic syndrome,0.16067716479301453
566,PGM-CDG,0.16053247451782227
567,Familial partial lipodystrophy associated with PPARG mutations,0.16044363379478455
568,Ischemic stroke,0.1603093147277832
569,primary aldosteronism,0.15987500548362732
570,Kallmann syndrome,0.15965023636817932
571,Nephrogenic diabetes insipidus,0.15943410992622375
572,hyperlipoproteinemia,0.1588982343673706
573,Fatal multiple mitochondrial dysfunction syndrome,0.15853336453437805
574,Skin ulcer,0.15780499577522278
575,lipoprotein measurement,0.15778765082359314
576,Progressive demyelinating neuropathy with bilateral striatal necrosis,0.15773984789848328
577,lupus nephritis,0.15709486603736877
578,severe cutaneous adverse reaction,0.15693116188049316
579,lichen planus,0.15659227967262268
580,Idiopathic CD4 lymphocytopenia,0.15647011995315552
581,Hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia,0.1558467447757721
582,Atypical Gaucher disease due to saposin C deficiency,0.15566763281822205
583,central nervous system infection,0.1552230715751648
584,Abnormal glucose homeostasis,0.15520602464675903
585,Fibronectin glomerulopathy,0.15510034561157227
586,Hypohidrotic ectodermal dysplasia with immunodeficiency,0.15494543313980103
587,Autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency,0.15490186214447021
588,hematocrit,0.15481317043304443
589,Rett syndrome,0.15422376990318298
590,Lentivirus Infections,0.1541290581226349
591,Megalencephalic leukoencephalopathy with subcortical cysts,0.1540047824382782
592,Leigh syndrome with nephrotic syndrome,0.15368208289146423
593,Meconium ileus,0.15360736846923828
594,biliary tract cancer,0.15355995297431946
