"efo_id","disease_full_name","number_of_associations"
"Orphanet_306539","Hereditary acrokeratotic poikiloderma of Kindler-Weary",20
"Orphanet_379","Chronic granulomatous disease",616
"EFO_1000530","Skin Cavernous Hemangioma",1
"EFO_1000925","epithelioid and spindle cell nevus",0
"EFO_0008606","pemphigus herpetiformis",5
"EFO_0004719","pemphigus vulgaris",225
"EFO_0008601","pemphigus foliaceus",121
"EFO_0008612","vegetating cicatricial pemphigoid",0
"EFO_0004775","toxic epidermal necrolysis",266
"EFO_1000732","mediastinal lipomatosis",0
"EFO_1000724","lichen disease",645
"EFO_1000671","bacterial exanthem",0
"EFO_0007272","filarial elephantiasis",78
"EFO_0000676","psoriasis",7517
"EFO_0003958","sunburn",833
"MONDO_0024414","anaerobic cellulitis",0
"MONDO_0024610","parasitic skin disease",272
"EFO_0007509","tick paralysis",2
"EFO_0007526","trombiculiasis",1
"EFO_1000663","acquired keratosis",1
"EFO_1000764","seborrheic dermatitis",168
"EFO_1000664","acrodermatitis",31
"EFO_1000702","folliculitis",130
"EFO_0009373","edema",1743
"MONDO_0007254","breast cancer",10346
"EFO_1000019","breast synovial sarcoma",0
"EFO_1000649","estrogen-receptor positive breast cancer",442
"MONDO_0021046","breast fibroepithelial neoplasm",122
"MONDO_0000733","cornea plana",28
"Orphanet_2709","Oculodental syndrome, Rutherfurd type",20
"Orphanet_91135","Body skin hyperlaxity due to vitamin K-dependent coagulation factor deficiency",6
"Orphanet_53296","Familial cutaneous collagenoma",5
"Orphanet_82004","Ehlers-Danlos syndrome with periventricular heterotopia",0
"MONDO_0016434","acquired dermis elastic tissue disorder",5
"MONDO_0019294","mixed dermis disorder",494
"EFO_0009560","otitis externa",16
"Orphanet_383","X-linked mixed deafness with perilymphatic gusher",4
"EFO_1000918","endolymphatic hydrops",162
"EFO_1001232","uveoparotid fever",2
"EFO_1000637","acute respiratory distress syndrome",735
"EFO_1001991","pneumonitis",684
"MONDO_0041850","pneumonia caused by gram negative bacteria",2
"EFO_0007496","staphylococcal pneumonia",31
"MONDO_0020588","lung PEComa",25
"EFO_0000702","small cell lung carcinoma",3137
"MONDO_0017023","secondary interstitial lung disease specific to childhood associated with a granulomatous disease",628
"EFO_0007153","asbestosis",89
"EFO_0007168","berylliosis",37
"EFO_1000851","byssinosis",7
"MONDO_0021804","silicotuberculosis",0
"EFO_1000813","anthracosilicosis",11
"Orphanet_2847","Pericardial and diaphragmatic defect",0
"EFO_0000280","Barrett's esophagus",2102
"EFO_1001095","peptic esophagitis",226
"Orphanet_165658","Genetic gastro-esophageal disease",101
"Orphanet_869","Triple A syndrome",44
"HP_0100633","Esophagitis",115
"MONDO_0003393","thymus gland disease",1087
"Orphanet_238744","Mammary-digital-nail syndrome",4
"EFO_1001488","influenza A (H1N1)",522
"MONDO_0001407","tracheal cancer",29
"MONDO_0002353","glottis neoplasm",36
"EFO_1001103","persistent fetal circulation syndrome",116
"EFO_1000963","hemopneumothorax",4
"EFO_0009680","pleural empyema",35
"Orphanet_2005","Laryngo-tracheo-esophageal cleft - pulmonary hypoplasia",0
"Orphanet_1505","Short rib-polydactyly syndrome",752
"Orphanet_811","Shwachman-Diamond syndrome",387
"Orphanet_276525","Familial hyperinsulinism",510
"Orphanet_1667","Wolcott-Rallison syndrome",57
"Orphanet_66518","Short fifth metacarpals - insulin resistance",0
"EFO_0007331","islet cell tumor",1399
"EFO_1001929","selective IgA deficiency disease",125
"EFO_1000969","hyperamylasemia",39
"MONDO_0002280","anemia (disease)",5724
"EFO_0007388","myelophthisic anemia",9
"Orphanet_48818","Aceruloplasminemia",86
"Orphanet_90045","Hereditary folate malabsorption",28
"MONDO_0001245","microcytic anemia",706
"Orphanet_822","Hereditary spherocytosis",67
"Orphanet_293825","Congenital dyserythropoietic anemia type IV",204
"Orphanet_275749","Beta-thalassemia and related diseases",546
"Orphanet_231242","Hemoglobin C - beta-thalassemia",0
"EFO_1001933","adult acute monocytic leukemia",201
"MONDO_0020082","dendritic cell tumor",460
"EFO_0005287","reticulum cell sarcoma",251
"Orphanet_220443","Bleeding diathesis due to thromboxane synthesis deficiency",96
"Orphanet_370127","Medich giant platelet syndrome",0
"Orphanet_248340","Isolated delta-storage pool disease",0
"Orphanet_331176","Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency",204
"MONDO_0044349","acquired hemoglobinopathy",2
"MONDO_0020511","precursor B-cell acute lymphoblastic leukemia",231
"EFO_1000156","Central Nervous System Anaplastic Large Cell Lymphoma",4
"EFO_1000591","Thyroid Gland Mucosa-Associated Lymphoid Tissue Lymphoma",6
"MONDO_0019460","acute leukemia of ambiguous lineage",2459
"EFO_0003026","minimally differentiated acute myeloblastic leukemia",62
"EFO_1000286","Granulocytic Sarcoma",31
"Orphanet_247378","Autosomal recessive secondary polycythemia not associated with VHL gene",0
"MONDO_0043364","eosinophil peroxidase deficiency",1
"MONDO_0044972","eosinophil disease",186
"EFO_1001316","Eosinophilia-Myalgia Syndrome",11
"Orphanet_98878","Hemophilia A",143
"MONDO_0021133","acquired factor XIII deficiency",1
"EFO_0007492","splenic tuberculosis",0
"EFO_1001332","Giant Lymph Node Hyperplasia",10
"Orphanet_238505","Autosomal recessive lymphoproliferative disease",198
"EFO_0007195","cat-scratch disease",16
"MONDO_0036870","lymphatic vessel neoplasm",64
"MONDO_0001023","prolymphocytic leukemia",196
"MONDO_0003159","vascular hemostatic disease",116
"MONDO_0002400","synovitis (disease)",326
"MONDO_0020561","myxoid/round cell liposarcoma",148
"EFO_0003084","round cell liposarcoma",31
"MONDO_0021054","bone sarcoma",579
"MONDO_0017582","pituitary adenocarcinoma (disease)",43
"MONDO_0024643","myocardial disorder",3651
"MONDO_0004582","rheumatic myocarditis",6
"Orphanet_60041","Congenital heart block",21
"EFO_0004138","bundle branch block",211
"MONDO_0000589","autoimmune disease of musculoskeletal system",6268
"EFO_1000557","Synovial Chondromatosis",24
"EFO_1001092","patellofemoral pain syndrome",10
"MONDO_0000359","spondylocostal dysostosis",141
"EFO_0005755","rheumatic disease",9588
"MONDO_0017957","unclassified autoinflammatory syndrome",537
"Orphanet_329967","Intermittent hydrarthrosis",1
"Orphanet_2286","Solitary median maxillary central incisor syndrome",27
"Orphanet_2916","Postaxial polydactyly - dental and vertebral anomalies",47
"Orphanet_284149","Craniosynostosis and dental anomalies",5
"Orphanet_669","Otopalatodigital syndrome",86
"Orphanet_99792","Dentin dysplasia - sclerotic bones",23
"Orphanet_247651","Infantile hypophosphatasia",135
"MONDO_0002360","chondroma",58
"EFO_1001163","root caries",13
"EFO_1001887","epicondylitis",62
"MONDO_0004857","tendinitis",85
"EFO_0003964","hip fracture",221
"Orphanet_329324","Inverse Klippel-Trénaunay syndrome",0
"Orphanet_399185","Rare hereditary disease with avascular necrosis",835
"Orphanet_2484","Osteodysplasty, Melnick-Needles type",8
"Orphanet_1240","Metaphyseal acroscyphodysplasia",74
"Orphanet_85172","Microcephalic osteodysplastic dysplasia, Saul-Wilson type",1
"Orphanet_60015","Parietal foramina",96
"Orphanet_99645","Dappled diaphyseal dysplasia",0
"Orphanet_437","Hypophosphatemic rickets",207
"MONDO_0000044","hereditary hypophosphatemic rickets",188
"Orphanet_2204","Dysplastic cortical hyperostosis",0
"Orphanet_391327","X-linked calvarial hyperostosis",0
"Orphanet_1822","Dysplasia epiphysealis hemimelica",1
"Orphanet_85197","Genochondromatosis type 1",23
"Orphanet_52430","Inclusion body myopathy with Paget disease of bone and frontotemporal dementia",463
"Orphanet_93398","Genochondromatosis type 2",23
"Orphanet_93279","Mild spondyloepiphyseal dysplasia due to COL2A1 mutation with early-onset osteoarthritis",22
"Orphanet_163654","Spondyloepiphyseal dysplasia, Cantu type",2
"Orphanet_93329","Autosomal recessive omodysplasia",5
"Orphanet_56304","Atelosteogenesis type II",67
"Orphanet_3098","Rhizomelic syndrome, Urbach type",19
"Orphanet_2021","Fibrochondrogenesis",84
"Orphanet_2496","Mesomelia-synostoses syndrome",8
"Orphanet_40","Acromesomelic dysplasia, Maroteaux type",22
"Orphanet_2176","Infantile systemic hyalinosis",2
"Orphanet_579","Mucopolysaccharidosis type 1",99
"Orphanet_351","Galactosialidosis",20
"Orphanet_228184","Heart-hand syndrome",341
"Orphanet_2130","Hemimelia",15
"Orphanet_295073","Ulnar hemimelia, bilateral",0
"Orphanet_294973","Humeral agenesis/hypoplasia",0
"Orphanet_294929","Terminal limb defects",289
"Orphanet_295138","Symbrachydactyly of hand and foot, bilateral",0
"Orphanet_294981","Congenital absence of both lower leg and foot",0
"Orphanet_295107","Apodia, bilateral",0
"Orphanet_295112","Congenital absence/hypoplasia of thumb, bilateral",0
"Orphanet_280651","Acrodysostosis with multiple hormone resistance",119
"Orphanet_369979","Finger hyperphalangy-toe anomalies-severe pectus excavatum syndrome",0
"Orphanet_36","Acrocallosal syndrome",24
"Orphanet_380","Greig cephalopolysyndactyly syndrome",126
"Orphanet_1388","Catel-Manzke syndrome",119
"Orphanet_3259","Syndactyly-polydactyly-ear lobe syndrome",1
"Orphanet_295173","Central polydactyly of fingers, bilateral",0
"Orphanet_93403","Syndactyly type 2",44
"Orphanet_2249","Ulna hypoplasia - intellectual disability",47
"Orphanet_1027","Autosomal recessive amelia",0
"Orphanet_295207","Humero-radio-ulnar synostosis, bilateral",0
"Orphanet_1524","Craniomicromelic syndrome",0
"Orphanet_1553","Curry-Jones syndrome",4
"Orphanet_3210","Summitt syndrome",104
"Orphanet_85201","Genitopatellar syndrome",4
"Orphanet_235832","Congenital vascular bone syndrome",106
"MONDO_0002614","bone inflammation disease",7685
"MONDO_0003061","benign muscle neoplasm",1487
"EFO_1000050","renal leiomyoma",1
"Orphanet_206634","Genetic skeletal muscle disease",6113
"Orphanet_171430","Severe congenital nemaline myopathy",3
"Orphanet_324581","Benign Samaritan congenital myopathy",0
"Orphanet_45","Adenosine monophosphate deaminase deficiency",17
"Orphanet_254881","Spinocerebellar ataxia with epilepsy",14
"Orphanet_254875","Mitochondrial DNA depletion syndrome, myopathic form",61
"Orphanet_254803","Mitochondrial DNA depletion syndrome, encephalomyopathic form",162
"Orphanet_681","Hypokalemic periodic paralysis",152
"MONDO_0004746","myopathy of extraocular muscle",169
"Orphanet_206564","Autosomal recessive limb-girdle muscular dystrophy type 2O",107
"Orphanet_588","Muscle-eye-brain disease",164
"Orphanet_98855","Autosomal recessive Emery-Dreifuss muscular dystrophy",105
"Orphanet_102014","Autosomal dominant limb-girdle muscular dystrophy",358
"Orphanet_399081","KLHL9-related childhood-onset distal myopathy",0
"Orphanet_352298","Genetic muscular channelopathy",656
"Orphanet_209203","Qualitative or quantitative defects of glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase -",162
"Orphanet_207107","Qualitative or quantitative defects of TRIM32",98
"Orphanet_1216","Autosomal dominant congenital benign spinal muscular atrophy",70
"Orphanet_98756","Spinocerebellar ataxia type 2",85
"Orphanet_140459","Autosomal recessive hereditary demyelinating motor and sensory neuropathy",695
"Orphanet_391351","SURF1-related Charcot-Marie-Tooth disease type 4",143
"MONDO_0036484","Charcot-Marie-Tooth disease, dominant intermediate G",1
"EFO_0009162","charcot-marie-tooth disease, axonal, type 2t",2
"Orphanet_1217","Spinal atrophy - ophthalmoplegia - pyramidal syndrome",0
"Orphanet_1496","Corpus callosum agenesis - neuronopathy",214
"EFO_1001473","Non-familial restrictive cardiomyopathy",2224
"MONDO_0016330","non-familial hypertrophic cardiomyopathy",198
"MONDO_0024573","familial hypertrophic cardiomyopathy",2693
"Orphanet_79159","Isobutyryl-CoA dehydrogenase deficiency",17
"MONDO_0016343","unclassified cardiomyopathy",397
"EFO_0000767","idiopathic cardiomyopathy",28
"Orphanet_75374","Bradyopsia",15
"Orphanet_180","Choroideremia",96
"Orphanet_791","Retinitis pigmentosa",2978
"Orphanet_3085","Retinitis pigmentosa - intellectual disability - deafness - hypogenitalism",9
"EFO_0009025","Bardet-Biedl syndrome 5",6
"Orphanet_171848","Polyneuropathy - hearing loss - ataxia - retinitis pigmentosa - cataract",16
"Orphanet_52427","Retinitis punctata albescens",12
"Orphanet_1871","Progressive cone dystrophy",221
"Orphanet_99004","Fundus pulverulentus",0
"Orphanet_2196","Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement",40
"Orphanet_319640","Retinal macular dystrophy type 2",10
"Orphanet_59181","Sorsby's fundus dystrophy",73
"EFO_0005581","red-green color blindness",13
"EFO_1000481","Plantar Fibromatosis",30
"MONDO_0007608","desmoid tumor",1
"EFO_1000099","Atypical Lipomatous Tumor",475
"MONDO_0002749","extracranial neuroblastoma",98
"EFO_0000500","ganglioneuroma",122
"MONDO_0019004","kidney Wilms tumor",150
"MONDO_0045063","major salivary gland adenoid cystic carcinoma",75
"MONDO_0015277","medullary thyroid gland carcinoma",537
"EFO_0005232","endometrium adenocarcinoma",1082
"EFO_1000298","Hydatidiform Mole",239
"MONDO_0024292","gastrointestinal polyp",46
"EFO_0003851","meningeal neoplasm",1083
"EFO_1001012","leptomeningeal metastasis",58
"MONDO_0000650","peritoneal benign neoplasm",77
"MONDO_0024470","benign chondrogenic neoplasm",181
"MONDO_0021111","ureter neoplasm",49
"EFO_1000409","Ossifying Renal Tumor of Infancy",4
"EFO_1000408","Ossifying Fibromyxoid Tumor",24
"MONDO_0002368","papillary serous cystadenocarcinoma",48
"EFO_0000641","papillary thyroid carcinoma",3073
"MONDO_0002564","jejunal neoplasm",13
"MONDO_0003789","hereditary papillary renal cell carcinoma",5
"EFO_0005708","renal cell adenocarcinoma",3899
"MONDO_0018492","hereditary clear cell renal cell carcinoma",2
"EFO_0000348","clear cell adenocarcinoma",2612
"Orphanet_231140","Silver-Russell syndrome due to imprinting defect of 11p15",0
"Orphanet_220","Denys-Drash syndrome",22
"Orphanet_93976","Anotia",11
"Orphanet_637","Neurofibromatosis type 2",137
"HP_0004323","abnormality of body weight",2636
"HP_0001824","weight loss",1844
"HP_0008846","Severe intrauterine growth retardation",13
"EFO_0006917","spontaneous preterm birth",139
"HP_0005957","breathing dysregulation",32
"HP_0000951","abnormality of the skin",3490
"HP_0002208","Coarse hair",0
"HP_0000960","Sacral dimple",5
"EFO_0009426","necrosis",3080
"HP_0009601","Aplasia/Hypoplasia of the thumb",1
"HP_0005879","Congenital finger flexion contractures",1
"HP_0001773","Short foot",11
"HP_0002817","Abnormality of the upper limb",150
"HP_0200055","Small hand",24
"HP_0001939","abnormality of metabolism/homeostasis",7307
"HP_0007256","Abnormal pyramidal sign",65
"HP_0002385","Paraparesis",46
"HP_0004354","Abnormality of carboxylic acid metabolism",3
"EFO_0008323","hypocretin deficiency",0
"HP_0003119","Abnormality of lipid metabolism",2638
"HP_0003146","hypocholesterolemia",59
"HP_0008316","Abnormal mitochondria in muscle tissue",4
"HP_0002928","Decreased activity of the pyruvate dehydrogenase complex",2
"HP_0002045","hypothermia",793
"HP_0003072","Hypercalcemia",202
"HP_0003076","glycosuria",147
"EFO_1000026","diffuse intrinsic pontine glioma",246
"MONDO_0020687","supratentorial ependymal tumor",40
"HP_0001742","Nasal obstruction",75
"HP_0002000","Short columella",3
"HP_0003196","Short nose",16
"HP_0007716","Intraocular melanoma",2
"HP_0001123","Visual field defect",174
"HP_0011821","Abnormality of facial skeleton",158
"HP_0000277","Abnormality of the mandible",150
"HP_0030276","Small scrotum",2
"EFO_0005762","neuropathic pain",1204
"EFO_0009625","facial pain",57
"EFO_0001663","prostate carcinoma",7692
"EFO_0000764","HIV infection",3597
"EFO_0007218","congenital rubella",17
"EFO_1000919","endometrial stromal sarcoma",265
"MONDO_0008170","ovarian cancer",5888
"EFO_1000072","Adenomatoid Odontogenic Tumor",38
"EFO_0001376","synovial sarcoma",524
"MONDO_0021069","malignant endocrine neoplasm",8689
"MONDO_0021311","malignant tumor of parathyroid gland",242
"EFO_0007210","clonorchiasis",33
"MONDO_0016752","benign peripheral nerve sheath tumor",537
"MONDO_0020634","grade III meningioma",26
"MONDO_0021451","benign neoplasm of brain",62
"MONDO_0016697","low grade ependymoma",50
"EFO_1001073","optic nerve neoplasm",37
"MONDO_0002366","autonomic nervous system neoplasm",1162
"MONDO_0021383","neoplasm of floor of mouth",7
"EFO_1001430","Sublingual Gland Neoplasms",0
"EFO_1000399","Non-Functioning Adrenal Cortex Adenoma",9
"EFO_1000097","Atypical Carcinoid Tumor",28
"MONDO_0024501","appendix neuroendocrine neoplasm",22
"MONDO_0000386","digestive system neuroendocrine tumor, grade 1/2",1390
"EFO_1000449","Papillary Meningioma",10
"EFO_1001757","Adenomyosis",322
"EFO_1000115","Benign Ovarian Mucinous Tumor",8
"EFO_1001486","primary biliary cirrhosis",1531
"MONDO_0018686","acquired Creutzfeldt-Jakob disease",2
"MONDO_0020069","chronic encephalitis",107
"MONDO_0019956","encephalitis",1206
"Orphanet_391343","Fatal post-viral neurodegenerative disorder",0
"EFO_1000831","bacterial meningitis",325
"EFO_1001021","Listeria meningitis",14
"EFO_0007128","actinomycosis",10
"EFO_0000776","Aeromonas hydrophila infection",34
"EFO_1001070","ocular tuberculosis",4
"EFO_0007519","trench fever",1
"MONDO_0019362","epidemic louse-borne typhus",3
"EFO_1000793","Actinobacillus infectious disease",0
"Orphanet_99106","Atrial septal defect, ostium primum type",0
"EFO_0005269","congenital heart malformation",1036
"MONDO_0019821","aneurysm or dilatation of ascending aorta",2
"Orphanet_860","Congenitally uncorrected transposition of the great arteries",41
"MONDO_0017705","congenital pulmonary venous return anomaly",15
"Orphanet_101063","Situs inversus totalis",69
"MONDO_0013062","long QT syndrome 12",1
"Orphanet_755","Leydig cell hypoplasia",57
"Orphanet_325511","46,XY disorder of sex development due to cholesterol synthesis defect",86
"Orphanet_98086","46,XY disorder of sex development due to a defect in testosterone metabolism by peripheral tissue",2
"Orphanet_325546","Sex chromosome disorder of sex development",440
"Orphanet_1123","Caudal appendage - deafness",0
"Orphanet_352328","MEGDEL syndrome",44
"Orphanet_1187","Lethal ataxia with deafness and optic atrophy",118
"Orphanet_2408","Lowe-Kohn-Cohen syndrome",0
"Orphanet_1192","Atherosclerosis - deafness - diabetes - epilepsy - nephropathy",3
"Orphanet_269215","Isolated Dandy-Walker malformation without hydrocephalus",0
"Orphanet_233","Duane retraction syndrome",106
"Orphanet_2431","Central bilateral macrogyria",0
"Orphanet_35981","Polymicrogyria",291
"Orphanet_268740","Upper thoracic spina bifida aperta",0
"Orphanet_268388","Lumbosacral spina bifida aperta",0
"Orphanet_268392","Cervical spina bifida aperta",0
"MONDO_0009544","macrocephaly/megalencephaly syndrome, autosomal recessive",1
"Orphanet_86906","Hypothalamic hamartomas with gelastic seizures",0
"Orphanet_100011","Lissencephaly with cerebellar hypoplasia type A",0
"Orphanet_137831","X-linked intellectual disability - cerebellar hypoplasia",14
"Orphanet_88644","Autosomal recessive ataxia, Beauce type",16
"MONDO_0033043","spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy",1
"Orphanet_1766","Dysequilibrium syndrome",313
"Orphanet_363429","Autosomal recessive cerebellar ataxia-pyramidal signs-nystagmus-oculomotor apraxia syndrome",15
"EFO_0009055","RIDDLE syndrome",5
"Orphanet_94124","Spinocerebellar ataxia type 1 with axonal neuropathy",93
"Orphanet_94148","Autosomal dominant cerebellar ataxia type 3",73
"Orphanet_211062","Hereditary episodic ataxia",172
"Orphanet_209970","Episodic ataxia type 7",31
"Orphanet_2117","Hartsfield-Bixler-Demyer syndrome",93
"Orphanet_329332","Microcephaly-cerebellar hypoplasia-cardiac conduction defect syndrome",139
"Orphanet_2805","Partial pancreatic agenesis",105
"Orphanet_3429","Verloove Vanhorick-Brubakk syndrome",55
"Orphanet_888","Van der Woude syndrome",60
"Orphanet_85282","MEHMO syndrome",155
"Orphanet_79246","Pyruvate dehydrogenase phosphatase deficiency",12
"Orphanet_1460","Isolated CoQ-cytochrome C reductase deficiency",354
"Orphanet_254830","Mitochondrial substrate carrier disorder",603
"Orphanet_254920","Combined oxidative phosphorylation defect type 2",170
"Orphanet_79281","Alpha-N-acetylgalactosaminidase deficiency type 3",432
"Orphanet_371235","Congenital disorder of glycosylation with developmental anomaly",1546
"Orphanet_294953","Limb overgrowth",3
"Orphanet_295044","Macrodactyly of fingers",0
"Orphanet_295030","Congenital shoulder dislocation",0
"Orphanet_294944","Congenital deformities of limbs",17
"Orphanet_1325","Camptodactyly - taurinuria",0
"Orphanet_231742","Epibulbar lipodermoid - preauricular appendage - polythelia",0
"MONDO_0020021","diaphragmatic or abdominal wall malformation",1832
"MONDO_0015193","hydrops fetalis (disease)",184
"Orphanet_171719","Cutis laxa-Marfanoid syndrome",68
"Orphanet_79094","Grange syndrome",2
"Orphanet_139027","Malformation syndrome with skin/mucosae involvement",3814
"Orphanet_217031","Obesity due to MC3R deficiency",309
"Orphanet_397615","Obesity due to CEP19 deficiency",225
"Orphanet_314588","Distal tetrasomy 15q",0
"Orphanet_93950","X-linked intellectual disability, Sutherland-Haan type",0
"Orphanet_97945","Intestinal malformation",1801
"Orphanet_2300","Multiple intestinal atresia",22
"Orphanet_98632","Glaucoma associated with neural crest cell migration anomaly",489
"Orphanet_1069","Aniridia - absent patella",5
"Orphanet_98943","Coloboma of eye lens",0
"MONDO_0007289","cataract 13 with adult I phenotype",1
"Orphanet_98989","Cerulean cataract",97
"Orphanet_263726","Partial deletion of chromosome X",40
"Orphanet_98156","Gonosome number anomaly",419
"Orphanet_9","Tetrasomy X",0
"Orphanet_3375","Trisomy X",30
"Orphanet_1699","Trisomy 12p",4
"Orphanet_3307","Tetrasomy 18p",2
"Orphanet_98131","Total autosomal trisomy",956
"Orphanet_1703","Mosaic trisomy 14",1
"Orphanet_1724","Mosaic trisomy 20",1
"Orphanet_262206","Partial duplication of chromosome 4",5
"Orphanet_262211","Partial trisomy/tetrasomy of chromosome 5",200
"Orphanet_96095","3q26 microduplication syndrome",6
"Orphanet_262749","Partial duplication of the short arm of chromosome 7",0
"Orphanet_96180","Maternal uniparental disomy of chromosome 4",2
"Orphanet_96187","Maternal uniparental disomy of chromosome 21",0
"Orphanet_97678","Maternal uniparental disomy of chromosome 13",0
"Orphanet_262056","Partial deletion of the long arm of chromosome 7",167
"Orphanet_262119","Partial deletion of the long arm of chromosome 15",1146
"Orphanet_1581","Non-distal monosomy 10q",0
"Orphanet_262038","Partial deletion of the long arm of chromosome 5",84
"Orphanet_314655","5q31.3 microdeletion syndrome",1
"Orphanet_48652","Monosomy 22q13",39
"Orphanet_261279","17q23.1q23.2 microdeletion syndrome",25
"Orphanet_261112","Monosomy 9p",5
"Orphanet_324313","9p13 microdeletion syndrome",8
"Orphanet_96129","Distal monosomy 19p13.3",0
"Orphanet_357001","19p13.13 microdeletion syndrome",0
"Orphanet_261836","Partial deletion of chromosome 18",25
"Orphanet_1448","Ring chromosome 6",1
"Orphanet_1445","Ring chromosome 21",3
"Orphanet_3305","Tetraploidy",92
"Orphanet_2475","White forelock with malformations",114
"Orphanet_2513","Microcephaly - albinism - digital anomalies",140
"Orphanet_2934","Polysyndactyly - cardiac malformation",7
"Orphanet_93973","Carpenter-Waziri syndrome",3
"Orphanet_404443","Tall stature-intellectual disability-facial dysmorphism syndrome",74
"EFO_0009020","Aymé-Gripp syndrome",1
"Orphanet_3079","Intellectual disability, Buenos-Aires type",2
"Orphanet_238766","Ptosis - syndactyly - learning difficulties",0
"Orphanet_2234","Male hypergonadotropic hypogonadism - intellectual disability - skeletal anomalies",251
"Orphanet_85325","X-linked intellectual disability, Stevenson type",0
"MONDO_0044319","intellectual developmental disorder with dysmorphic facies, seizures, and distal limb anomalies",1
"Orphanet_442","Congenital hypothyroidism",804
"Orphanet_171706","Short stature-delayed bone age due to thyroid hormone metabolism deficiency",54
"Orphanet_209893","Congenital isolated thyroxine-binding globulin deficiency",0
"Orphanet_2230","Hypogonadotropic hypogonadism - frontoparietal alopecia",0
"Orphanet_2250","Hyposmia - nasal and ocular hypoplasia - hypogonadotropic hypogonadism",3
"Orphanet_1227","Bangstad syndrome",19
"Orphanet_320","Apparent mineralocorticoid excess",437
"Orphanet_44","Neonatal adrenoleukodystrophy",157
"Orphanet_1876","Oculogastrointestinal muscular dystrophy",6
"Orphanet_104078","Unclassified intestinal pseudoobstruction",0
"MONDO_0014008","phosphohydroxylysinuria",2
"MONDO_0013543","trypsinogen deficiency",1
